temperatura_aire,temperatura_proceso,velocidad_rotacion,torque,desgaste,fallo
298.9,309.1,2861,4.6,143,1
298.9,309,1410,65.7,191,1
298.8,308.9,1455,41.3,208,1
298.4,308.2,1282,60.7,216,1
298.3,308.1,1412,52.3,218,1
298.4,308.3,1433,62.3,20,1
298.2,308.5,2678,10.7,86,1
298.4,308.7,1421,60.7,119,1
298,308.2,1348,58.8,202,1
298,308.3,1362,56.8,216,1
298,308.3,1405,56.2,218,1
298.1,308.2,1420,63.9,19,1
297.7,308.5,1373,56.7,203,1
297.5,308.3,2564,12.8,127,1
297.4,308.5,1399,61.5,61,1
297.4,308.7,2874,4.2,118,1
297.6,309.6,1501,49.8,222,1
297.9,309.8,1336,71.6,31,1
296.8,308.1,1289,62,199,1
296.4,307.4,2833,5.6,213,1
295.8,306.3,1235,76.2,89,1
295.7,306.2,2270,14.6,149,1
295.6,306.1,1372,55.6,215,1
296.3,307.2,1319,68.3,24,1
297,307.8,1385,56.4,202,1
296.9,307.8,1549,35.8,206,1
296.9,307.5,2721,9.3,18,1
296.6,307.7,1386,62.3,100,1
296.7,307.8,1258,69,105,1
297,307.9,1296,69.1,153,1
297,307.8,1316,61.2,200,1
296.9,307.8,1400,57.1,202,1
297,308.1,1362,52.5,213,1
298.4,309.5,2153,15.3,98,1
298.8,310.1,1243,74.5,194,1
299,310.4,1365,49.1,226,1
299,310.4,1371,53.8,228,1
298.9,310.2,2737,8.8,142,1
298.7,309.8,1354,53.3,212,1
298.8,309.9,1439,45.2,40,1
298,308.7,1479,58.5,176,1
298,308.7,1268,69.4,189,1
298,308.5,1429,37.7,220,1
298.2,308.4,1310,61,189,1
298,308.2,1365,52.9,218,1
297.9,307.4,1604,36.1,225,1
298.2,307.6,1511,31,209,1
298.3,308,2886,3.8,57,1
298.2,307.9,1313,67.3,67,1
298.1,307.7,2567,12.8,125,1
297.8,307.3,1327,61,186,1
298.4,308,1416,38.2,198,1
298.5,308.2,1301,66.3,42,1
299.5,309.4,1390,58.8,195,1
299.3,308.9,1258,69.4,119,1
299.6,309.2,1867,23.4,225,1
299.5,308.7,2549,13,179,1
299.3,308.4,1542,37.5,203,1
299.4,308.7,1446,62.9,134,1
299.3,308.6,1384,53.6,218,1
299.2,308.5,1378,50.4,220,1
298.9,308.2,1372,63.6,30,1
299.2,308.6,1267,68.2,76,1
299.1,308.8,1329,53.6,207,1
299.2,309,1515,48.9,228,1
299.2,309.1,1345,60.7,191,1
299.1,308.8,1320,67.5,20,1
299.7,309.3,1399,41.9,221,1
299.7,309.2,1685,28.9,179,1
299.8,309.3,1299,65.1,212,1
300.5,309.3,1417,51.5,231,1
300.6,309.4,1380,47.6,246,1
300.6,309.4,1367,63.2,45,1
300.7,309.6,1996,19.8,203,1
300.5,309.8,1324,72.8,159,1
300.5,309.8,1379,54.2,207,1
300.4,309.9,2563,12.8,81,1
300.8,309.4,1342,62.4,113,1
301.3,310.1,1269,56.8,195,1
301.4,310.8,1285,62.6,183,1
301.6,310.8,1355,57.8,195,1
301.5,310.9,2760,8,15,1
301.5,310.4,2639,12,21,1
302,310.9,1378,53.1,212,1
301.9,310.9,1567,39,214,1
301.8,310.6,2672,11.8,124,1
301.7,310.9,1405,46.4,207,1
302,311.2,1270,65.3,182,1
302.2,311.3,1530,37.3,207,1
302.3,310.9,1377,46.8,166,1
302.3,310.8,1377,47.3,22,1
302.3,310.9,1379,49.3,34,1
302.3,310.9,1360,44,67,1
302.1,310.6,1326,59.1,88,1
302.3,310.9,1366,48.4,130,1
302.4,311,1338,67.6,194,1
302.6,311.5,1629,34.4,228,1
302.7,311.6,2709,9.7,2,1
302.6,311.5,1442,59.8,169,1
302.6,311.6,1227,68.2,187,1
302.3,311.4,1333,66.7,205,1
302.1,311.2,1454,59.2,153,1
302.1,311,1351,60.3,207,1
